ID|Transcription|Normalized transcription
LJ028-0394|he passed other unimportant fortresses, and came at last to a walled enclosure, which the natives pointed out as a royal hunting ground.|he passed other unimportant fortresses, and came at last to a walled enclosure, which the natives pointed out as a royal hunting ground.
LJ028-0395|It was a low rampart, enclosing a wide space planted with trees of every sort, in which all kinds of beasts were shut up;|It was a low rampart, enclosing a wide space planted with trees of every sort, in which all kinds of beasts were shut up;
LJ028-0396|they were supplied with food by keepers, and gave the king the opportunity of hunting whenever he felt inclined.|they were supplied with food by keepers, and gave the king the opportunity of hunting whenever he felt inclined.
LJ028-0397|When Julian saw this, he caused a large part of the wall to be overthrown, and as the beasts escaped they were shot down by his soldiers.|When Julian saw this, he caused a large part of the wall to be overthrown, and as the beasts escaped they were shot down by his soldiers.
LJ028-0398|The walls of Babylon were destined to serve still another purpose.|The walls of Babylon were destined to serve still another purpose.
LJ028-0399|The spread of Mohammedanism caused new cities to be built, and Babylon was the quarry for their building material.|The spread of Mohammedanism caused new cities to be built, and Babylon was the quarry for their building material.
LJ028-0400|The walls of Babylon were transformed into the sacred cities of Kerbela and Nejef.|The walls of Babylon were transformed into the sacred cities of Kerbela and Nejef.
LJ028-0401|In the eleventh century, on the site of the southern part of Babylon, the city of Hillah was built.|In the eleventh century, on the site of the southern part of Babylon, the city of Hillah was built.
LJ028-0402|Hillah might be called a child of Babylon, for it is almost entirely constructed with Nebuchadnezzar's bricks.|Hillah might be called a child of Babylon, for it is almost entirely constructed with Nebuchadnezzar's bricks.
LJ028-0403|The walls of the houses are built of them.|The walls of the houses are built of them.
LJ028-0404|The courtyards and streets are paved with them, and as you walk about the city the name of Nebuchadnezzar everywhere meets your eye.|The courtyards and streets are paved with them, and as you walk about the city the name of Nebuchadnezzar everywhere meets your eye.
LJ028-0405|Many of the ten thousand people living in Hillah still gain their livelihood by digging the bricks from the ruins to sell to the modern builders.|Many of the ten thousand people living in Hillah still gain their livelihood by digging the bricks from the ruins to sell to the modern builders.
LJ028-0406|The great irrigating dams across the Euphrates are constructed entirely of them.|The great irrigating dams across the Euphrates are constructed entirely of them.
LJ028-0407|The people of Hillah, too, are a survival of Babylonian times.|The people of Hillah, too, are a survival of Babylonian times.
LJ028-0408|Some are Arabs of the same tribes which used to roam the desert in Nebuchadnezzar's days. Some are the children of the Hebrew exiles of old.|Some are Arabs of the same tribes which used to roam the desert in Nebuchadnezzar's days. Some are the children of the Hebrew exiles of old.
LJ028-0409|Some, calling themselves Christians, are the descendants of Babylonians, perhaps of Nebuchadnezzar himself.|Some, calling themselves Christians, are the descendants of Babylonians, perhaps of Nebuchadnezzar himself.
LJ028-0410|There among the ruins they still live in the same kind of houses,|There among the ruins they still live in the same kind of houses,
LJ028-0411|dressing the same, eating the same food as did their ancestors when Nebuchadnezzar built the walls of Babylon.|dressing the same, eating the same food as did their ancestors when Nebuchadnezzar built the walls of Babylon.
LJ028-0412|Among the first of the modern travelers to describe the ruins of Babylon was Anthony Shirley, an Englishman who visited Mesopotamia in 1599.|Among the first of the modern travelers to describe the ruins of Babylon was Anthony Shirley, an Englishman who visited Mesopotamia in fifteen ninety-nine.
LJ028-0413|In his quaint way he says:|In his quaint way he says:
LJ028-0414|All the ground on which Babylon was spread is left now desolate; nothing standing in that Peninsula between the Euphrates and the Tigris,|All the ground on which Babylon was spread is left now desolate; nothing standing in that Peninsula between the Euphrates and the Tigris,
LJ028-0415|but only part, and that a small part, of the great tower, which God hath suffered to stand|but only part, and that a small part, of the great tower, which God hath suffered to stand
LJ028-0416|(if man may speak so confidently of His great impenetrable counsels), for an eternal Testimony of His great work in the confusion of Man's pride,|(if man may speak so confidently of His great impenetrable counsels), for an eternal Testimony of His great work in the confusion of Man's pride,
LJ028-0417|and that Arke of Nebuchadnezzar for as perpetual a memory of his great idolatry and condigne punishment.|and that Arke of Nebuchadnezzar for as perpetual a memory of his great idolatry and condigne punishment.
LJ028-0418|About that same time Pietro della Valle, an Italian, visited Babylon,|About that same time Pietro della Valle, an Italian, visited Babylon,
LJ028-0419|and digging from the wall an inscribed square brick bearing the name of Nebuchadnezzar, he took it to Rome where it may still be seen.|and digging from the wall an inscribed square brick bearing the name of Nebuchadnezzar, he took it to Rome where it may still be seen.
LJ028-0420|That was the first object taken from Babylon to Europe;|That was the first object taken from Babylon to Europe;
LJ028-0421|it was the beginning of the great collections of Babylonian antiquities in the museums of the Western world.|it was the beginning of the great collections of Babylonian antiquities in the museums of the Western world.
LJ028-0422|Among the later visitors to Babylon was the great Niebuhr.|Among the later visitors to Babylon was the great Niebuhr.
LJ028-0423|In 1812, James Claudius Rich, the British Resident at Baghdad, made the first complete examination of the ruins.|In eighteen twelve, James Claudius Rich, the British Resident at Baghdad, made the first complete examination of the ruins.
LJ028-0424|Porter, Layard, and Rawlinson followed him, but the real scientific exploration of Babylon and its walls|Porter, Layard, and Rawlinson followed him, but the real scientific exploration of Babylon and its walls
LJ028-0425|was begun by the Deutsche Orientgesellschaft, in 1889, and continued till the summer of 1915.|was begun by the Deutsche Orientgesellschaft, in eighteen eighty-nine, and continued till the summer of nineteen fifteen.
LJ028-0426|For fifteen years Dr. Koldewey and his assistants, with a force of two hundred native workmen, have labored there winter and summer.|For fifteen years Dr. Koldewey and his assistants, with a force of two hundred native workmen, have labored there winter and summer.
LJ028-0427|The enormous amount of debris which buried the palaces and temples and walls of Nebuchadnezzar's city, in places to the depth of a hundred feet,|The enormous amount of debris which buried the palaces and temples and walls of Nebuchadnezzar's city, in places to the depth of a hundred feet,
LJ028-0428|has been removed, and the surrounding city walls have been traced.|has been removed, and the surrounding city walls have been traced.
LJ028-0429|The excavations have shown that Babylon, as the ancients told us, was nearly square.|The excavations have shown that Babylon, as the ancients told us, was nearly square.
LJ028-0430|The Euphrates flowed through it, but the greater part of the city was on the eastern shore.|The Euphrates flowed through it, but the greater part of the city was on the eastern shore.
LJ028-0431|The city walls, of which the ancients were so proud, appear here and there like low ridges far out on the plain;|The city walls, of which the ancients were so proud, appear here and there like low ridges far out on the plain;
LJ028-0432|other parts of them have disappeared entirely.|other parts of them have disappeared entirely.
LJ028-0433|In the northern part of the enclosure to the east of the river,|In the northern part of the enclosure to the east of the river,
LJ028-0434|the large high mound, which resembles a mountain from a distance, still bears the ancient name Babel.|the large high mound, which resembles a mountain from a distance, still bears the ancient name Babel.
LJ028-0435|Arabs, searching for bricks, have burrowed their way down deep into it, revealing massive walls and arches.|Arabs, searching for bricks, have burrowed their way down deep into it, revealing massive walls and arches.
LJ028-0436|The Germans maintain that it is the ruin of the Tower of Babel.|The Germans maintain that it is the ruin of the Tower of Babel.
LJ028-0437|Here, it has been suggested, were the famous hanging gardens which some ancient authors included among the Seven Wonders of the World.|Here, it has been suggested, were the famous hanging gardens which some ancient authors included among the Seven Wonders of the World.
LJ028-0438|However, it is possible that the hanging gardens existed only in the imagination of the Greek writers,|However, it is possible that the hanging gardens existed only in the imagination of the Greek writers,
LJ028-0439|for none of the many building inscriptions from Nebuchadnezzar mentions them.|for none of the many building inscriptions from Nebuchadnezzar mentions them.
LJ028-0440|Possibly along the terraces of the walls, or upon the stages of some lofty temple tower,|Possibly along the terraces of the walls, or upon the stages of some lofty temple tower,
LJ028-0441|trees and overhanging vines were planted, and thus the travelers' tales arose.|trees and overhanging vines were planted, and thus the travelers' tales arose.
LJ028-0442|At a distance of about two miles to the south of Babel is the larger and lower mound called the Kasr, or the Fortress,|At a distance of about two miles to the south of Babel is the larger and lower mound called the Kasr, or the Fortress,
LJ028-0443|because great masses of masonry used to project from its surface.|because great masses of masonry used to project from its surface.
LJ028-0444|Deep down in the mound the Germans discovered the palace of Nebuchadnezzar with its hundreds of small chambers and its huge surrounding walls.|Deep down in the mound the Germans discovered the palace of Nebuchadnezzar with its hundreds of small chambers and its huge surrounding walls.
LJ028-0445|The mound still farther south is called Amran, because upon its summit stands the tomb of a Mohammedan saint of that name.|The mound still farther south is called Amran, because upon its summit stands the tomb of a Mohammedan saint of that name.
LJ028-0446|There lie the ruins of the famous temple of Esagil, sacred to Marduk.|There lie the ruins of the famous temple of Esagil, sacred to Marduk.
LJ028-0447|Upon the little mound Jumjuma farther on, an Arab village has long stood.|Upon the little mound Jumjuma farther on, an Arab village has long stood.
LJ028-0448|All of the ancient writers agree in saying that Babylon was surrounded with both inner and outer walls, and the ruins confirm their statements.|All of the ancient writers agree in saying that Babylon was surrounded with both inner and outer walls, and the ruins confirm their statements.
LJ028-0449|Parts of the walls of Nineveh are still standing to the height of one hundred and twenty-five feet,|Parts of the walls of Nineveh are still standing to the height of one hundred and twenty-five feet,
LJ028-0450|but the walls of Babylon have so long been used to supply bricks to the builders of the neighboring cities that only their bases remain.|but the walls of Babylon have so long been used to supply bricks to the builders of the neighboring cities that only their bases remain.
LJ028-0451|In places even the bases have disappeared, and their moats have long been filled with the drifting sand.|In places even the bases have disappeared, and their moats have long been filled with the drifting sand.
LJ028-0452|The outer wall bore the name of Nimitti-Bel. Its direction was northeast and southwest, forming a triangle with the river.|The outer wall bore the name of Nimitti-Bel. Its direction was northeast and southwest, forming a triangle with the river.
LJ028-0453|"The northeastern section may now be traced for a distance of less than three miles, and the southwestern ""for more than a mile,"|"The northeastern section may now be traced for a distance of less than three miles, and the southwestern ""for more than a mile,"
LJ028-0454|but both sections originally reached the river.|but both sections originally reached the river.
LJ028-0455|It seems that the circuit of the outer wall was about eleven miles.|It seems that the circuit of the outer wall was about eleven miles.
LJ028-0456|The small portions of it which have been excavated suffice to show its construction.|The small portions of it which have been excavated suffice to show its construction.
LJ028-0457|The moat, ten feet deep, and of a width no longer known, ran close to its base. The wall was double.|The moat, ten feet deep, and of a width no longer known, ran close to its base. The wall was double.
LJ028-0458|Its outer part was about twenty-four feet in thickness, and its foundations, as Nebuchadnezzar said, were carried down to the water level.|Its outer part was about twenty-four feet in thickness, and its foundations, as Nebuchadnezzar said, were carried down to the water level.
LJ028-0459|Its bricks, measuring about thirteen inches square and three inches in thickness, were burned and stamped with the usual short inscription:|Its bricks, measuring about thirteen inches square and three inches in thickness, were burned and stamped with the usual short inscription:
LJ028-0460|Nebuchadnezzar, King of Babylon, the restorer of the temples Esagil and Ezida,|Nebuchadnezzar, King of Babylon, the restorer of the temples Esagil and Ezida,
LJ028-0461|the first-born son of Nabopolassar, King of Babylon.|the first-born son of Nabopolassar, King of Babylon.
LJ028-0462|They were laid in bitumen.|They were laid in bitumen.
LJ028-0463|The inner part of the wall was constructed of unburned bricks, and at a distance of about thirty-six feet from the outer part.|The inner part of the wall was constructed of unburned bricks, and at a distance of about thirty-six feet from the outer part.
LJ028-0464|The intervening space, which was filled with dirt probably to the upper inner edge of the outer part,|The intervening space, which was filled with dirt probably to the upper inner edge of the outer part,
LJ028-0465|served as an elevated road where several chariots might have been driven abreast.|served as an elevated road where several chariots might have been driven abreast.
LJ028-0466|This inner part was about twenty-four feet wide, and at intervals of about one hundred and forty feet it was surmounted with towers.|This inner part was about twenty-four feet wide, and at intervals of about one hundred and forty feet it was surmounted with towers.
LJ028-0467|The entire width of the outer defense, not including the moat, was therefore about eighty-two feet;|The entire width of the outer defense, not including the moat, was therefore about eighty-two feet;
LJ028-0468|its height was probably more than double its width, but that may never be determined.|its height was probably more than double its width, but that may never be determined.
LJ028-0469|The inner wall of Babylon was called Imgur-Bel, and like the outer wall, it was double.|The inner wall of Babylon was called Imgur-Bel, and like the outer wall, it was double.
LJ028-0470|Time has dealt even less kindly with it, for it may be traced only for the distance of about a mile along its eastern side.|Time has dealt even less kindly with it, for it may be traced only for the distance of about a mile along its eastern side.
LJ028-0471|Nebuchadnezzar says that he built it of burned bricks, but only sun-dried bricks laid in mud now appear.|Nebuchadnezzar says that he built it of burned bricks, but only sun-dried bricks laid in mud now appear.
LJ028-0472|Its outer part, about twelve feet in width, was protected with towers at intervals of sixty-five feet.|Its outer part, about twelve feet in width, was protected with towers at intervals of sixty-five feet.
LJ028-0473|A space of about twenty-three feet separated it from its inner part, which was about twenty feet in width.|A space of about twenty-three feet separated it from its inner part, which was about twenty feet in width.
LJ028-0474|It too was surmounted with towers.|It too was surmounted with towers.
LJ028-0475|No traces of its moat have appeared.|No traces of its moat have appeared.
LJ028-0476|The entire width of this inner defense was about fifty-five feet; its height is uncertain.|The entire width of this inner defense was about fifty-five feet; its height is uncertain.
LJ028-0477|To protect the sun-dried bricks of the inner wall from the winter rains|To protect the sun-dried bricks of the inner wall from the winter rains
LJ028-0478|there were drains of large burned bricks, some of which bore the following long inscription:|there were drains of large burned bricks, some of which bore the following long inscription:
LJ028-0479|Nebuchadnezzar, King of Babylon,|Nebuchadnezzar, King of Babylon,
LJ028-0480|the exalted prince, the protector of Esagil and Ezida, son of Nabopolassar, King of Babylon, am I.|the exalted prince, the protector of Esagil and Ezida, son of Nabopolassar, King of Babylon, am I.
LJ028-0481|Nabopolassar, the father, my begetter, built Imgur-Bel, the great wall of Babylon,|Nabopolassar, the father, my begetter, built Imgur-Bel, the great wall of Babylon,
LJ028-0482|but I, the devout petitioner, the worshipper of the gods, built the moat, and made its wall of burned brick and bitumen mountain high.|but I, the devout petitioner, the worshipper of the gods, built the moat, and made its wall of burned brick and bitumen mountain high.
LJ028-0483|O Marduk, great god, look joyfully upon the precious work of my hands. Be thou my protector.|O Marduk, great god, look joyfully upon the precious work of my hands. Be thou my protector.
LJ028-0484|Grant me as a gift a life of distant days.|Grant me as a gift a life of distant days.
LJ028-0485|The outer and inner defenses of Babylon were so strong and so high that no enemy could hope to take them,|The outer and inner defenses of Babylon were so strong and so high that no enemy could hope to take them,
LJ028-0486|yet the palace of Nebuchadnezzar was protected by a third defense far stronger.|yet the palace of Nebuchadnezzar was protected by a third defense far stronger.
LJ028-0487|Fortunately its walls have suffered less from the hands of the brick hunters, and the German excavators have been able to reconstruct their plan.|Fortunately its walls have suffered less from the hands of the brick hunters, and the German excavators have been able to reconstruct their plan.
LJ028-0488|They may best be described by means of the accompanying diagram representing a cross section.|They may best be described by means of the accompanying diagram representing a cross section.
LJ028-0489|Had the enemy of Babylon succeeded in breaking through the outer and inner defenses of the city the royal palace would have still been far from his reach.|Had the enemy of Babylon succeeded in breaking through the outer and inner defenses of the city the royal palace would have still been far from his reach.
LJ028-0490|He would have had to cross a deep moat, to scale a wall of burned bricks about twenty feet in thickness and perhaps three times as high,|He would have had to cross a deep moat, to scale a wall of burned bricks about twenty feet in thickness and perhaps three times as high,
LJ028-0491|then a second wall still higher, a third and fourth and a fifth, each stronger and higher than the others,|then a second wall still higher, a third and fourth and a fifth, each stronger and higher than the others,
LJ028-0492|and surmounted with towers, and then finally a sixth wall|and surmounted with towers, and then finally a sixth wall
LJ028-0493|whose summit reached into the sky as far, perhaps, as the tallest of the modern buildings.|whose summit reached into the sky as far, perhaps, as the tallest of the modern buildings.
LJ028-0494|Between the several sections were wide spaces where foot soldiers and charioteers might fight.|Between the several sections were wide spaces where foot soldiers and charioteers might fight.
LJ028-0495|It must have been an imposing sight to one standing without to have seen the walls, one after another,|It must have been an imposing sight to one standing without to have seen the walls, one after another,
LJ028-0496|rising higher and higher, like a great terraced, turreted mountain.|rising higher and higher, like a great terraced, turreted mountain.
LJ028-0497|We do not know their height, for the statements of the ancient writers disagree.|We do not know their height, for the statements of the ancient writers disagree.
LJ028-0498|Herodotus says that it was three hundred and thirty-five feet;|Herodotus says that it was three hundred and thirty-five feet;
LJ028-0499|Ctesias mentions three hundred feet; probably they were not far from the truth.|Ctesias mentions three hundred feet; probably they were not far from the truth.
LJ028-0500|The ruins reach the height of about forty feet.|The ruins reach the height of about forty feet.
LJ028-0501|Nor were the walls about the palace a great mass of dull brick masonry.|Nor were the walls about the palace a great mass of dull brick masonry.
LJ028-0502|The Ishtar gateway leading to the palace was encased with beautiful blue glazed bricks,|The Ishtar gateway leading to the palace was encased with beautiful blue glazed bricks,
LJ028-0503|and decorated here and there with large reliefs representing bulls and lions and dragons,|and decorated here and there with large reliefs representing bulls and lions and dragons,
LJ028-0504|designed in colors of white and blue and yellow and black.|designed in colors of white and blue and yellow and black.
LJ028-0505|It seems that the bricks of the reliefs were molded and glazed separately and so accurately that when built into the wall they fitted perfectly.|It seems that the bricks of the reliefs were molded and glazed separately and so accurately that when built into the wall they fitted perfectly.
LJ028-0506|A modern artist would have difficulty in doing such accurate work.|A modern artist would have difficulty in doing such accurate work.
LJ028-0507|Some of these decorations, the most valuable objects found in the ruins of the great city, still remain in their places on the walls;|Some of these decorations, the most valuable objects found in the ruins of the great city, still remain in their places on the walls;
LJ028-0508|others have been taken to the Berlin Museum.|others have been taken to the Berlin Museum.
LJ028-0509|Nebuchadnezzar speaks of great bronze gates and of images of bronze, but none have been discovered.|Nebuchadnezzar speaks of great bronze gates and of images of bronze, but none have been discovered.
LJ028-0510|Probably their metal was far too valuable for the enemy to leave behind.|Probably their metal was far too valuable for the enemy to leave behind.
LJ028-0511|Should you walk along the shore of the Euphrates at Babylon, you would still see the embankments which Nebuchadnezzar constructed of bricks bearing his name,|Should you walk along the shore of the Euphrates at Babylon, you would still see the embankments which Nebuchadnezzar constructed of bricks bearing his name,
LJ028-0512|but the river walls have disappeared, and the buttresses of the bridges have been torn or washed away.|but the river walls have disappeared, and the buttresses of the bridges have been torn or washed away.
LJ028-0513|Should you cross the river to search for the western inner wall, you would find but a small fragment of it.|Should you cross the river to search for the western inner wall, you would find but a small fragment of it.
LJ028-0514|The great outer wall seems to have disappeared completely beneath the desert surface.|The great outer wall seems to have disappeared completely beneath the desert surface.
LJ028-0515|Such were the walls of Babylon,|Such were the walls of Babylon,
LJ028-0516|the strongest, the thickest, the loftiest, the most intricate, perhaps the most beautiful that ever protected a city,|the strongest, the thickest, the loftiest, the most intricate, perhaps the most beautiful that ever protected a city,
LJ028-0517|walls which no ancient army was ever able to take by storm.|walls which no ancient army was ever able to take by storm.
LJ028-0518|It is not strange, then, that they were included among the Seven Wonders of the World,|It is not strange, then, that they were included among the Seven Wonders of the World,
LJ028-0519|or that the Babylonian soldier stood confidently upon their summit, and jeering at the Persian army encamped below, shouted:|or that the Babylonian soldier stood confidently upon their summit, and jeering at the Persian army encamped below, shouted:
